#Release 14.7 - par P.20131013 (nt64)
#Copyright (c) 1995-2013 Xilinx, Inc.  All rights reserved.

#Sat Jul 17 11:43:23 2021

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       FPGA_DUPS_map.ncd
#OUTPUT FILE:      FPGA_DUPS_pad.csv
#PART TYPE:        xc3s1400a
#SPEED GRADE:      -4
#PACKAGE:          ft256
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
A1,,,GND,,,,,,,,,,,,
A2,,,PROG_B,,,,,,,,,,,,
A3,O_TP_51,IOB,IO_L19P_0,OUTPUT,LVCMOS33,0,12,FAST,NONE**,,,LOCATED,NO,NONE,
A4,,DIFFMTB,IO_L18P_0,UNUSED,,0,,,,,,,,,
A5,,DIFFMTB,IO_L17P_0,UNUSED,,0,,,,,,,,,
A6,O_N_LED5,IOB,IO_L15P_0,OUTPUT,LVCMOS33,0,12,FAST,NONE**,,,LOCATED,NO,NONE,
A7,,DIFFMTB,IO_L13P_0,UNUSED,,0,,,,,,,,,
A8,,DIFFMTB,IO_L12P_0/GCLK10,UNUSED,,0,,,,,,,,,
A9,,DIFFSTB,IO_L10N_0/GCLK7,UNUSED,,0,,,,,,,,,
A10,,DIFFSTB,IO_L08N_0,UNUSED,,0,,,,,,,,,
A11,,DIFFSTB,IO_L07N_0,UNUSED,,0,,,,,,,,,
A12,,DIFFSTB,IO_L05N_0,UNUSED,,0,,,,,,,,,
A13,,DIFFSTB,IO_L04N_0,UNUSED,,0,,,,,,,,,
A14,,DIFFMTB,IO_L04P_0,UNUSED,,0,,,,,,,,,
A15,,,TCK,,,,,,,,,,,,
A16,,,GND,,,,,,,,,,,,
B1,,,TDI,,,,,,,,,,,,
B2,,,TMS,,,,,,,,,,,,
B3,O_TP_52,IOB,IO_L19N_0,OUTPUT,LVCMOS33,0,12,FAST,NONE**,,,LOCATED,NO,NONE,
B4,,DIFFSTB,IO_L18N_0,UNUSED,,0,,,,,,,,,
B5,,,VCCO_0,,,0,,,,,3.30,,,,
B6,,DIFFSTB,IO_L15N_0,UNUSED,,0,,,,,,,,,
B7,,,GND,,,,,,,,,,,,
B8,,DIFFSTB,IO_L12N_0/GCLK11,UNUSED,,0,,,,,,,,,
B9,,,VCCO_0,,,0,,,,,3.30,,,,
B10,,DIFFMTB,IO_L08P_0,UNUSED,,0,,,,,,,,,
B11,,,GND,,,,,,,,,,,,
B12,,DIFFMTB,IO_L05P_0,UNUSED,,0,,,,,,,,,
B13,,,VCCO_0,,,0,,,,,3.30,,,,
B14,,DIFFSTB,IO_L02N_0,UNUSED,,0,,,,,,,,,
B15,,DIFFMTB,IO_L02P_0/VREF_0,UNUSED,,0,,,,,,,,,
B16,,,TDO,,,,,,,,,,,,
C1,,DIFFSLR,IO_L01N_3,UNUSED,,3,,,,,,,,,
C2,,DIFFMLR,IO_L01P_3,UNUSED,,3,,,,,,,,,
C3,,,GND,,,,,,,,,,,,
C4,O_TP_54,IOB,IO_L20P_0/VREF_0,OUTPUT,LVCMOS33,0,12,FAST,NONE**,,,LOCATED,NO,NONE,
C5,,DIFFSTB,IO_L17N_0,UNUSED,,0,,,,,,,,,
C6,,DIFFSTB,IO_L16N_0,UNUSED,,0,,,,,,,,,
C7,,DIFFSTB,IO_L13N_0,UNUSED,,0,,,,,,,,,
C8,,DIFFMTB,IO_L11P_0/GCLK8,UNUSED,,0,,,,,,,,,
C9,,DIFFMTB,IO_L10P_0/GCLK6,UNUSED,,0,,,,,,,,,
C10,,DIFFMTB,IO_L09P_0/GCLK4,UNUSED,,0,,,,,,,,,
C11,,DIFFMTB,IO_L07P_0,UNUSED,,0,,,,,,,,,
C12,,DIFFMTB,IO_L03P_0,UNUSED,,0,,,,,,,,,
C13,,DIFFSTB,IO_L01N_0,UNUSED,,0,,,,,,,,,
C14,,,GND,,,,,,,,,,,,
C15,HW_VERS_BD<6>,IBUF,IO_L24N_1/A25,INPUT,LVCMOS33,1,,,,IBUF,,LOCATED,NO,NONE,
C16,HW_VERS_BD<7>,IBUF,IO_L24P_1/A24,INPUT,LVCMOS33,1,,,,IBUF,,LOCATED,NO,NONE,
D1,,DIFFMLR,IO_L03P_3,UNUSED,,3,,,,,,,,,
D2,,,VCCO_3,,,3,,,,,3.30,,,,
D3,,DIFFSLR,IO_L02N_3,UNUSED,,3,,,,,,,,,
D4,,DIFFMLR,IO_L02P_3,UNUSED,,3,,,,,,,,,
