Cycle Count,User ID,UID Scan,Preset #,Preset Rev,Preset Validated,ASN,PSAN,SAN,Weld Time,Peak Power,Energy,Downspeed AED,Downspeed,Weld Abs,Total Abs,Weld Coll,Total Coll,Amp Start,Amp End,Force A,Force B,Force,Pressure,Freq Min,Freq Max,Freq Start,Freq End,Freq Chang,Cycle Time,Hold Force,Trig Force,PSSN,ActSerNum,Time,Date,Preset Name
27,ADMIN,---,0,0,No,DEFAULT,DEFAULT,DEFAULT,0.1,5.1,1.8,None,2.4,1.581,1.5812,0.0023,0.0025,100,None,None,---,44,22,39957,39970,39957,39957,+0,0.95,44,10,XVG18033446E,G171005   ,11:22:19,08-27-21,*
27,ADMIN,---,0,0,No,DEFAULT,DEFAULT,DEFAULT,0.1,5.1,1.8,None,2.4,1.581,1.5812,0.0023,0.0025,100,None,None,---,44,22,39957,39970,39957,39957,+0,0.95,44,10,XVG18033446E,G171005   ,11:22:19,08-27-21,*
27,ADMIN,---,0,0,No,DEFAULT,DEFAULT,DEFAULT,0.1,5.1,1.8,None,2.4,1.581,1.5812,0.0023,0.0025,100,None,None,---,44,22,39957,39970,39957,39957,+0,0.95,44,10,XVG18033446E,G171005   ,11:22:19,08-27-21,*
27,ADMIN,---,0,0,No,DEFAULT,DEFAULT,DEFAULT,0.1,5.1,1.8,None,2.4,1.581,1.5812,0.0023,0.0025,100,None,None,---,44,22,39957,39970,39957,39957,+0,0.95,44,10,XVG18033446E,G171005   ,11:22:19,08-27-21,*
27,ADMIN,---,0,0,No,DEFAULT,DEFAULT,DEFAULT,0.1,5.1,1.8,None,2.4,1.581,1.5812,0.0023,0.0025,100,None,None,---,44,22,39957,39970,39957,39957,+0,0.95,44,10,XVG18033446E,G171005   ,11:22:19,08-27-21,*
28,ADMIN,---,0,0,No,DEFAULT,DEFAULT,DEFAULT,0.1,5.0,1.8,None,2.3,1.5788,1.5791,0.0031,0.0034,100,None,None,---,43,22,39960,39978,39968,39960,-8,0.982,44,10,XVG18033446E,G171005   ,15:07:12,09-16-21,*
29,ADMIN,---,0,0,No,DEFAULT,DEFAULT,DEFAULT,0.1,5.1,1.8,None,2.3,1.5793,1.5796,0.0023,0.0026,100,None,None,---,44,21,39960,39971,39960,39960,+0,0.976,44,10,XVG18033446E,G171005   ,15:07:17,09-16-21,*
30,ADMIN,---,0,0,No,DEFAULT,DEFAULT,DEFAULT,0.1,5.0,1.8,None,2.4,1.5785,1.5787,0.0042,0.0044,100,None,None,---,43,22,39960,39972,39961,39960,-1,0.932,43,10,XVG18033446E,G171005   ,15:07:19,09-16-21,*
31,ADMIN,---,0,0,No,DEFAULT,DEFAULT,DEFAULT,0.1,5.1,1.8,None,2.3,1.5779,1.5782,0.002,0.0023,100,None,None,---,44,22,39960,39975,39960,39960,+0,0.954,44,10,XVG18033446E,G171005   ,15:07:20,09-16-21,*
32,ADMIN,---,0,0,No,DEFAULT,DEFAULT,DEFAULT,0.1,5.0,1.8,None,2.3,1.5732,1.5734,0.0023,0.0025,100,None,None,---,43,22,39952,39968,39960,39960,+0,0.95,44,10,XVG18033446E,G171005   ,15:07:21,09-16-21,*
33,ADMIN,---,0,0,No,DEFAULT,DEFAULT,DEFAULT,0.1,5.0,1.8,None,2.4,1.5786,1.5787,0.0052,0.0053,100,None,None,---,43,22,39959,39971,39960,39960,+0,0.93,43,10,XVG18033446E,G171005   ,15:07:22,09-16-21,*
34,ADMIN,---,0,0,No,DEFAULT,DEFAULT,DEFAULT,0.1,5.0,1.8,None,2.4,1.5748,1.575,0.002,0.0022,100,None,None,---,44,22,39959,39969,39960,39960,+0,0.954,44,10,XVG18033446E,G171005   ,15:07:24,09-16-21,*
35,ADMIN,---,0,0,No,DEFAULT,DEFAULT,DEFAULT,0.1,5.0,1.8,None,2.4,1.5786,1.5787,0.0049,0.005,100,None,None,---,43,22,39959,39969,39961,39959,-2,0.93,43,10,XVG18033446E,G171005   ,15:07:25,09-16-21,*
35,ADMIN,---,0,0,No,DEFAULT,DEFAULT,DEFAULT,0.1,5.0,1.8,None,2.4,1.5786,1.5787,0.0049,0.005,100,None,None,---,43,22,39959,39969,39961,39959,-2,0.93,43,10,XVG18033446E,G171005   ,15:07:25,09-16-21,*
36,ADMIN,---,0,0,No,DEFAULT,DEFAULT,DEFAULT,0.1,5.1,1.8,None,2.3,1.5798,1.58,0.0022,0.0024,100,None,None,---,43,22,39960,39974,39960,39960,+0,0.98,44,10,XVG18033446E,G171005   ,15:08:55,09-16-21,*
37,ADMIN,---,0,0,No,DEFAULT,DEFAULT,DEFAULT,0.1,5.0,1.8,None,2.4,1.5794,1.5796,0.0023,0.0025,100,None,None,---,44,22,39958,39970,39959,39960,+1,0.96,44,10,XVG18033446E,G171005   ,15:08:57,09-16-21,*
64,ADMIN,---,0,0,No,DEFAULT,DEFAULT,DEFAULT,0.1,5.0,1.8,None,2.4,1.5788,1.579,0.0051,0.0053,100,None,None,---,43,22,39959,39968,39959,39959,+0,0.93,43,10,XVG18033446E,G171005   ,16:16:13,09-16-21,*
64,ADMIN,---,0,0,No,DEFAULT,DEFAULT,DEFAULT,0.1,5.0,1.8,None,2.4,1.5788,1.579,0.0051,0.0053,100,None,None,---,43,22,39959,39968,39959,39959,+0,0.93,43,10,XVG18033446E,G171005   ,16:16:13,09-16-21,*
